date,hour,temperature_c
2025-12-10,0,0.2
2025-12-10,1,0.2
2025-12-10,2,0.0
2025-12-10,3,-0.1
2025-12-10,4,-0.4
2025-12-10,5,-0.1
2025-12-10,6,-0.1
2025-12-10,7,-0.3
2025-12-10,8,0.1
2025-12-10,9,1.1
2025-12-10,10,2.1
2025-12-10,11,4.1
2025-12-10,12,5.5
2025-12-10,13,6.3
2025-12-10,14,7.6
2025-12-10,15,8.0
2025-12-10,16,6.8
2025-12-10,17,6.1
2025-12-10,18,5.4
2025-12-10,19,4.7
2025-12-10,20,4.6
2025-12-10,21,4.6
2025-12-10,22,4.2
2025-12-10,23,3.5
2025-12-11,0,14.8
2025-12-11,1,14.2
2025-12-11,2,13.7
2025-12-11,3,13.3
2025-12-11,4,12.9
2025-12-11,5,12.5
2025-12-11,6,12.2
2025-12-11,7,13.3
2025-12-11,8,17.5
2025-12-11,9,21.6
2025-12-11,10,24.3
2025-12-11,11,26.1
2025-12-11,12,27.3
2025-12-11,13,28.0
2025-12-11,14,28.1
2025-12-11,15,27.7
2025-12-11,16,26.6
2025-12-11,17,23.6
2025-12-11,18,20.5
2025-12-11,19,18.5
2025-12-11,20,17.0
2025-12-11,21,16.1
2025-12-11,22,15.2
2025-12-11,23,14.2
